name,duration,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,genre
Shotgun Blues,267826,67,0.528,0.947,2,-7.175,1,0.0518,9.31e-06,0.0632,0.165,0.661,149.082,4,0
Shot in the Dark,256293,66,0.581,0.791,6,-7.262,1,0.0324,0.00835,6.02e-05,0.142,0.619,123.887,3,0
Redneck,220880,66,0.512,0.996,2,-2.1,1,0.114,5.63e-05,0.000167,0.347,0.0601,130.931,4,0
Raining Blood,254400,66,0.294,0.995,1,-4.383,0,0.168,0.000489,0.331,0.128,0.0379,88.777,4,0
Hearts on Fire,231386,65,0.577,0.901,1,-5.981,1,0.0492,0.000431,3.59e-06,0.672,0.337,90.997,4,0
I Want Out,280213,65,0.477,0.859,0,-8.625,1,0.0387,0.000333,0.000155,0.265,0.629,91.009,4,0
Paradox,241153,65,0.282,0.97,11,-4.511,0,0.0891,0.00989,0.0,0.447,0.135,98.887,4,0
Party in My Head,188111,64,0.445,0.914,4,-5.001,0,0.0494,0.000152,0.0,0.549,0.587,135.032,4,0
Cyberhex,275247,64,0.526,0.944,6,-3.815,0,0.144,0.000207,1.76e-05,0.0994,0.281,112.531,4,0
Nobody's Fool,287400,64,0.367,0.445,9,-13.615,0,0.0286,0.0478,0.00284,0.163,0.149,67.197,4,0
Holy Diver,353786,64,0.476,0.901,8,-6.751,1,0.0975,0.0642,0.158,0.0557,0.109,91.955,4,0
Hip To Be Scared [Feat. Jacoby Shaddix],203560,64,0.276,0.862,1,-5.352,0,0.255,0.00147,0.0,0.174,0.526,182.115,3,0
Planet Zero,222738,64,0.416,0.964,9,-2.967,1,0.112,2.35e-05,0.000875,0.473,0.212,157.925,4,0
Die By The Blade,194838,64,0.552,0.864,8,-6.523,0,0.0375,0.000931,0.0199,0.0856,0.898,140.986,4,0
Bone Church,327240,64,0.341,0.558,11,-8.597,0,0.039,0.0831,0.36,0.129,0.0894,125.076,3,0
Pull Me Under,493933,63,0.532,0.941,9,-9.025,1,0.0465,0.000579,0.0527,0.15,0.278,102.198,4,0
Protect The Land,307644,63,0.432,0.886,8,-3.991,1,0.0341,9.2e-05,4.74e-05,0.338,0.248,76.04,4,0
Cirice,362093,63,0.555,0.798,3,-5.658,1,0.0279,0.00254,1.5e-05,0.171,0.284,89.987,4,0
Screaming Suicide,330453,63,0.425,0.972,4,-3.448,0,0.045,2.42e-05,0.0202,0.239,0.282,101.125,4,0
Full Circle,202249,62,0.495,0.993,7,-3.014,1,0.145,0.000151,0.0,0.368,0.29,149.912,4,0
Circle The Drain,215346,62,0.448,0.969,5,-3.309,0,0.11,0.000129,0.000135,0.0771,0.387,92.512,4,0
Black No. 1 (Little Miss Scare -All),675653,62,0.348,0.7,4,-8.885,1,0.0611,0.0397,0.00228,0.106,0.416,93.614,4,0
Black Hole,179181,62,0.48,0.958,5,-4.241,0,0.0664,2.45e-05,0.0,0.52,0.385,110.05,4,0
Our Time Is Now,271417,62,0.229,0.949,2,-3.315,0,0.0537,1.67e-05,0.187,0.153,0.4,99.325,4,0
War Eternal,256053,62,0.445,0.98,5,-4.369,0,0.0731,2.45e-05,0.163,0.129,0.285,155.045,4,0
Down for Life,203680,62,0.344,0.955,1,-10.614,1,0.0444,5.4e-06,0.111,0.0665,0.352,111.671,4,0
I Wanna Be Somebody,223533,62,0.285,0.825,1,-7.049,0,0.0466,0.000826,0.0,0.268,0.516,164.611,4,0
