Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2016-02-23,2016,2,23,Tuesday,08,2016-08,194.0,194.32,192.18,192.32,111455300,169.57,-0.012629556150320354,166.91071428571428,168.1597142857143
2016-02-24,2016,2,24,Wednesday,08,2016-08,190.63,193.53,189.32,193.2,150812200,170.34,0.004575475412196273,167.03,168.2202777777778
2016-02-25,2016,2,25,Thursday,08,2016-08,193.73,195.55,192.83,195.54,110728300,172.41,0.012111715865828154,167.27857142857144,168.3335135135135
2016-02-26,2016,2,26,Friday,08,2016-08,196.57,196.68,194.9,195.09,129833700,172.01,-0.002301487213532183,167.72857142857143,168.43026315789476
2016-02-29,2016,2,29,Monday,09,2016-09,195.11,196.23,193.33,193.56,125918100,170.66,-0.007842167018827784,168.24142857142857,168.48743589743592
2016-03-01,2016,3,1,Tuesday,09,2016-09,195.01,198.21,194.45,198.11,141799700,174.67,0.023506635239486817,169.04,168.642
2016-03-02,2016,3,2,Wednesday,09,2016-09,197.74,199.06,197.25,199.0,102415000,175.46,0.004492595228508867,169.905,168.80829268292683
2016-03-03,2016,3,3,Thursday,09,2016-09,198.79,199.8,198.11,199.78,95172200,176.14,0.003919657415454303,170.97000000000003,168.98285714285714
2016-03-04,2016,3,4,Friday,09,2016-09,200.01,201.35,199.03,200.43,129293600,176.72,0.003253440380880379,171.83928571428572,169.1627906976744
2016-03-07,2016,3,7,Monday,10,2016-10,199.34,201.07,199.25,200.59,100219000,176.86,0.0007985261114498154,172.52,169.33772727272728
2016-03-08,2016,3,8,Tuesday,10,2016-10,199.32,199.92,198.21,198.4,123974900,174.93,-0.010917826839628941,172.86785714285716,169.462
2016-03-09,2016,3,9,Wednesday,10,2016-10,199.36,199.79,198.43,199.38,94801200,175.79,0.004939532229516708,173.32714285714286,169.5995652173913
2016-03-10,2016,3,10,Thursday,10,2016-10,199.96,201.07,197.38,199.54,156838700,175.93,0.000802470828948465,173.80214285714285,169.73425531914893
2016-03-11,2016,3,11,Friday,10,2016-10,201.26,202.81,199.52,202.76,137964500,178.77,0.016136982126404575,174.30428571428573,169.92249999999999
2016-03-14,2016,3,14,Monday,11,2016-11,202.16,203.04,201.77,202.5,73612000,178.54,-0.001282266745112337,174.945,170.09836734693877
2016-03-15,2016,3,15,Tuesday,11,2016-11,201.36,202.53,201.05,202.17,93169100,178.25,-0.001629697012583975,175.51000000000002,170.26139999999998
2016-03-16,2016,3,16,Wednesday,11,2016-11,201.6,203.82,201.55,203.34,129303200,179.28,0.00578725391694257,176.00071428571428,170.3022
2016-03-17,2016,3,17,Thursday,11,2016-11,203.24,205.23,202.77,204.63,134278500,180.42,0.006344192958244621,176.60142857142858,170.3598
2016-03-18,2016,3,18,Friday,11,2016-11,204.17,204.78,203.8,204.38,138372400,181.13,0.003929541426921812,177.3492857142857,170.47639999999998
2016-03-21,2016,3,21,Monday,12,2016-12,204.07,204.94,203.8,204.67,72926700,181.39,0.0014192338664396065,177.82928571428573,170.68240000000003
2016-03-22,2016,3,22,Tuesday,12,2016-12,203.76,205.23,203.57,204.56,97471900,181.29,-0.0005377992175875645,178.24571428571429,170.924
2016-03-23,2016,3,23,Wednesday,12,2016-12,204.11,204.33,203.01,203.21,81052500,180.09,-0.006599307815886357,178.52785714285713,171.13819999999998
2016-03-24,2016,3,24,Thursday,12,2016-12,202.0,203.16,201.74,203.12,84360900,180.01,-0.0004431250670936526,178.76285714285714,171.3234
2016-03-28,2016,3,28,Monday,13,2016-13,203.61,203.86,202.71,203.24,62408200,180.12,0.0005908975667074934,178.99571428571429,171.59599999999998
2016-03-29,2016,3,29,Tuesday,13,2016-13,202.76,205.25,202.4,205.12,92922900,181.79,0.009250290445548703,179.4857142857143,171.84740000000002
2016-03-30,2016,3,30,Wednesday,13,2016-13,206.3,206.87,205.59,206.02,86365300,182.58,0.004387470284688666,179.9707142857143,172.18720000000002
2016-03-31,2016,3,31,Thursday,13,2016-13,205.91,206.41,205.33,205.52,94584100,182.14,-0.0024268451072106956,180.41428571428568,172.51379999999997
